metric,value,bestValue,repo
reliability_rating,3.0,False,deeco
reliability_remediation_effort,49,False,deeco
security_rating,1.0,True,deeco
security_remediation_effort,0,True,deeco
sqale_index,10910,False,deeco
sqale_rating,1.0,True,deeco
duplicated_lines_density,0.6,False,deflex
reliability_rating,3.0,False,deflex
reliability_remediation_effort,90,False,deflex
security_rating,1.0,True,deflex
security_remediation_effort,0,True,deflex
sqale_index,553,False,deflex
sqale_rating,1.0,True,deflex
duplicated_lines_density,3.2,False,dispatches
reliability_rating,5.0,False,dispatches
reliability_remediation_effort,1427,False,dispatches
security_rating,1.0,True,dispatches
security_remediation_effort,0,True,dispatches
sqale_index,4456,False,dispatches
sqale_rating,1.0,True,dispatches
duplicated_lines_density,5.4,False,distaix
reliability_rating,5.0,False,distaix
reliability_remediation_effort,75,False,distaix
security_rating,1.0,True,distaix
security_remediation_effort,0,True,distaix
sqale_index,24128,False,distaix
sqale_rating,1.0,True,distaix
duplicated_lines_density,0.2,False,draf
reliability_rating,5.0,False,draf
reliability_remediation_effort,43,False,draf
security_rating,1.0,True,draf
security_remediation_effort,0,True,draf
sqale_index,1910,False,draf
sqale_rating,1.0,True,draf
duplicated_lines_density,0.0,True,dss_capi
reliability_rating,5.0,False,dss_capi
reliability_remediation_effort,30,False,dss_capi
security_rating,1.0,True,dss_capi
security_remediation_effort,0,True,dss_capi
sqale_index,40142,False,dss_capi
sqale_rating,1.0,True,dss_capi
duplicated_lines_density,3.3,False,eDisGo
reliability_rating,3.0,False,eDisGo
reliability_remediation_effort,650,False,eDisGo
security_rating,5.0,False,eDisGo
security_remediation_effort,45,False,eDisGo
sqale_index,3139,False,eDisGo
sqale_rating,1.0,True,eDisGo
duplicated_lines_density,7.1,False,eGo
reliability_rating,4.0,False,eGo
reliability_remediation_effort,83,False,eGo
security_rating,1.0,True,eGo
security_remediation_effort,0,True,eGo
sqale_index,2750,False,eGo
sqale_rating,1.0,True,eGo
duplicated_lines_density,4.9,False,emlab-generation
reliability_rating,4.0,False,emlab-generation
reliability_remediation_effort,75,False,emlab-generation
security_rating,1.0,True,emlab-generation
security_remediation_effort,0,True,emlab-generation
sqale_index,4892,False,emlab-generation
sqale_rating,1.0,True,emlab-generation
duplicated_lines_density,0.0,True,energy-py
reliability_rating,3.0,False,energy-py
reliability_remediation_effort,40,False,energy-py
security_rating,1.0,True,energy-py
security_remediation_effort,0,True,energy-py
sqale_index,150,False,energy-py
sqale_rating,1.0,True,energy-py
