num_downloads,month,project
505,2025-04-01,heron-ravenframework
1104,2025-04-01,nemopt
1990,2025-04-01,grimsel
624,2025-04-01,villas-node
187,2025-04-01,pypower-dynamics
624,2025-04-01,friendlysam
2711,2025-04-01,iesopt
1672,2025-04-01,energysim
477,2025-04-01,emflow
877,2025-04-01,dispatches
4164,2025-04-01,esa
605,2025-04-01,pycity-scheduling
2206,2025-04-01,assume-framework
111,2025-04-01,pypownet
395,2025-04-01,onsset
2276,2025-04-01,hybridbosse
1860,2025-04-01,fine
6805,2025-04-01,andes
1774,2025-04-01,tesp-support
2103,2025-04-01,stepspy
433,2025-04-01,psst
2084,2025-04-01,calliope
1625,2025-04-01,matpower
8352,2025-04-01,pypower
202,2025-04-01,pymarket
138,2025-04-01,pownet
554,2025-04-01,mescal
921,2025-04-01,pyehub
189,2025-04-01,python-microgrid
154977,2025-04-01,power-grid-model
4483,2025-04-01,opentepes
8422,2025-04-01,grid2op
701,2025-04-01,sustaingym
1219,2025-04-01,minpower
4406,2025-04-01,message-ix
1378,2025-04-01,reho
1130,2025-04-01,hopp
532,2025-04-01,rheia-meca2675
876,2025-04-01,gridx-egret
420,2025-04-01,h2integrate
354,2025-03-01,nrel-erad
2176,2025-03-01,iesopt
965,2025-03-01,dispatches
12652,2025-03-01,pypsa
1402,2025-03-01,muse-os
864,2025-03-01,pycity-scheduling
875,2025-03-01,edisgo
2061,2025-03-01,grimsel
105,2025-03-01,pypownet
602,2025-03-01,dieterpy
910,2025-03-01,dpsim
353,2025-03-01,nrel-emerge
1193,2025-03-01,roseau-load-flow
744,2025-03-01,powergama
1507,2025-03-01,minpower
10443,2025-03-01,pypowsybl
1286,2025-03-01,hopp
5549,2025-03-01,multi-vector-simulator
2278,2025-03-01,tesp-support
1015,2025-03-01,pyehub
2445,2025-03-01,assume-framework
1354,2025-03-01,pybalmorel
4007,2025-03-01,esa
2244,2025-03-01,calliope
27340,2025-03-01,pandapower
188,2025-03-01,pypower-dynamics
1875,2025-03-01,fine
498,2025-03-01,flixopt
1097,2025-03-01,pyetm
697,2025-03-01,gridx-egret
695,2025-03-01,osier
501,2025-03-01,psst
206,2025-03-01,pymarket
9358,2025-03-01,zen-garden
385,2025-03-01,pymfm
1159,2025-03-01,switch-model
445,2025-03-01,ego
4995,2025-03-01,opentepes
380,2025-03-01,python-microgrid
1691,2025-03-01,reho
1591,2025-03-01,matpower
517,2025-03-01,microgrids
1296,2025-03-01,omegalpes
444,2025-03-01,sustaingym
564,2025-03-01,rheia-meca2675
498,2025-03-01,heron-ravenframework
2158,2025-03-01,message-ix
7715,2025-03-01,andes
520,2025-03-01,friendlysam
2350,2025-03-01,stepspy
2073,2025-03-01,opender
1491,2025-03-01,gridpath
525,2025-03-01,onsset
342,2025-03-01,opensduc
679,2025-03-01,deflex
39475,2025-03-01,nrel-pysam
248,2025-03-01,energyscope
1580,2025-03-01,energysim
238,2025-03-01,digripy
1987,2025-03-01,tz-osemosys
767,2025-03-01,aristopy
545,2025-03-01,mescal
2206,2025-03-01,chronix2grid
130,2025-03-01,pownet
1715,2025-03-01,amirispy
9380,2025-03-01,grid2op
355,2025-03-01,villas-node
4381,2025-03-01,nempy
2484,2025-03-01,hybridbosse
423,2025-03-01,emflow
152521,2025-03-01,power-grid-model
1260,2025-03-01,nemopt
3478,2025-03-01,mosaik
8698,2025-03-01,pypower
1603,2025-02-01,gridpath
6600,2025-02-01,andes
1849,2025-02-01,multi-vector-simulator
150,2025-02-01,pownet
6143,2025-02-01,grid2op
1349,2025-02-01,reho
339,2025-02-01,villas-node
1650,2025-02-01,amirispy
2754,2025-02-01,nempy
244,2025-02-01,energyscope
2160,2025-02-01,assume-framework
717,2025-02-01,switch-model
2534,2025-02-01,esa
820,2025-02-01,matpower
1055,2025-02-01,energysim
107838,2025-02-01,power-grid-model
514,2025-02-01,powergama
2123,2025-02-01,opentepes
509,2025-02-01,pyehub
1446,2025-02-01,mosaik
181,2025-02-01,digripy
971,2025-02-01,pybalmorel
330,2025-02-01,heron-ravenframework
240,2025-02-01,pymfm
1089,2025-02-01,tesp-support
682,2025-02-01,omegalpes
276,2025-02-01,pycity-scheduling
404,2025-02-01,dieterpy
458,2025-02-01,deflex
547,2025-02-01,pyetm
259,2025-02-01,microgrids
20219,2025-02-01,pandapower
1498,2025-02-01,opender
2294,2025-02-01,iesopt
1824,2025-02-01,chronix2grid
592,2025-02-01,aristopy
1246,2025-02-01,stepspy
9682,2025-02-01,pypowsybl
287,2025-02-01,nrel-erad
569,2025-02-01,dispatches
2062,2025-02-01,hybridbosse
135,2025-02-01,pypower-dynamics
613,2025-02-01,roseau-load-flow
7950,2025-02-01,zen-garden
6935,2025-02-01,pypower
