username,classification,company,location,repos
AfaqJ,academic,,DEU,gh:e2niee/pandapower
Afnisse,industry,hsabati,MAR,gh:akkudoktor-eos/eos
Afraz85,unknown,,,gh:oemof/oemof-solph
AfterDreaming,academic,georgia institute of technology,USA,gh:epri-dev/opender
AggelosRag,unknown,,,gh:transition-zero/tz-osemosys
AgnesBelt,unknown,,,"gh:calliope-project/calliope,gh:energy-modelling-toolkit/dispa-set,gh:osemosys/osemosys,gh:sei-international/nemomod.jl"
Agrover112,industry,,,gh:sienna-platform/powersimulations.jl
Aguerazo,unknown,,,"gh:sienna-platform/powersimulations.jl,gh:sienna-platform/powersimulationsdynamics.jl"
Agustin-Medusa,unknown,,,gh:akkudoktor-eos/eos
AhahaJade,unknown,,,"gh:lanl-ansi/powermodels.jl,gh:nrel-sienna/powersimulations.jl,gh:nrel-sienna/powersimulationsdynamics.jl"
AhengDU,unknown,,,gh:ahalev/python-microgrid
Ahmad-Mahmoudi-coder,unknown,,,gh:eiagov/bluesky
Ahmad-Wahid,industry,seitabv,DEU,"gh:calliope-project/calliope,gh:pypsa/pypsa,gh:sanpen/veragrid"
Ahmadkhan02,academic,,IND,gh:manuvarkey/gelectrical
Ahmed-Abdalrahman,utility,independent electricity system operator,CAN,"gh:matpower/matpower,gh:matpower/most"
AhmedAl-Shafei,academic,university of calgary,CAN,gh:iit-energysystemmodels/opentepes
Ahmeddiab1,academic,kyushu university,,"gh:critical-infrastructure-systems-lab/pownet,gh:e2niee/pandapower,gh:energyinnovation/eps-us,gh:iit-energysystemmodels/opentepes,gh:natlabrockies/mafrit,gh:natlabrockies/sam,gh:osemosys/osemosys"
Ahmedobayah,unknown,,,gh:emlab/emlab-generation
Ahnaf-Ahmed,industry,sesit/emh,,"gl:sesit/copper,gl:sesit/idea,gl:sesit/silver"
AhnafUVIC,unknown,,,gl:sesit/silver
AhsanMubashir88,industry,ntdc pakistan,PAK,gh:pypsa/pypsa
Ahsnazari,unknown,,,"gh:bje-/nemo,gh:richard-weinhold/pomato"
AiLabstop,industry,,,gh:pypsa/pypsa
Aidenliuyu,unknown,,,gh:akkudoktor-eos/eos
Aiguasol,industry,,ESP,gh:epri-dev/opender
AihuiFu,academic,delft university of technology,,gh:e2niee/pandapower
Aimer021004,unknown,,,gh:changgang/steps
Aimerrhythme,academic,university of sydney,,"gh:matpower/matpower,gh:pypsa/pypsa"
Airfoil73,unknown,,,gh:natlabrockies/sam
Airowdan,unknown,,,gh:akkudoktor-eos/eos
Aishwarya1602,unknown,,,"gh:matpower/matpower,gh:natlabrockies/pras,gh:pypsa/pypsa,gh:sanpen/veragrid,gh:vub-hydr/revub"
Aissen-Li,unknown,,,"gh:matpower/matpower,gh:pypsa/pypsa"
Aivlyz,unknown,,,"gh:e2niee/pandapower,gh:lanl-ansi/powermodels.jl"
Ajatasatru,unknown,,,gh:prayas-energy/rumi
AjayTsao,unknown,,,gh:pypsa/pypsa
AkarshSahlot,industry,linux foundation,USA,gh:powergridmodel/power-grid-model
Akin01,industry,,,gh:pypsa/pypsa
Akurso,unknown,,,gh:pypsa/pypsa
Al3xand3r1987,unknown,,,gh:akkudoktor-eos/eos
AlJuel,unknown,,,gh:lkruitwagen/global-fossil-fuel-supply-chain
AlKhourdajie,unknown,,,gh:iiasa/message_ix
AlKlecks,unknown,,,gh:akkudoktor-eos/eos
